case:concept:name,concept:name,time:timestamp,people,scene,message,description
1939,SubmitCommit,2021-01-28 09:04:26,deqi.hu,fork_close,"mmc: Change mmc_dev_info from pointer to global variable

1.Since in bl_platform_setup, the mmc_device_info
  passed in are all temporary variables, so need to
  use global variables to store mmc_device_info in mmc.c
2.Delete redundant;

Signed-off-by: deqi.hu@siengine.com","{""sha"": ""13c0233591176160573142117246af500bc3bbd7"", ""author"": {""name"": ""deqi.hu"", ""email"": ""deqi.hu@siengine.com"", ""date"": ""2021-01-28T09:04:26Z""}, ""committer"": {""name"": ""deqi.hu"", ""email"": ""deqi.hu@siengine.com"", ""date"": ""2021-01-28T09:04:26Z""}}"
1939,OpenPR,2021-01-28 09:38:47,hudeqiWH,fork_close,,
1939,IssueComment,2021-01-28 10:00:29,hudeqiWH,fork_close,"as picture show mmc_read_blocks maybe called beyond function bl1_platform_setup


![mmc_read_blocks maybe called beyond bl1_platform_setup](https://user-images.githubusercontent.com/21273083/106121512-9baf2b80-6192-11eb-9395-58d1d30fdf61.png)
","{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/comments/768939793"", ""author_association"": ""NONE""}"
1939,IssueComment,2021-01-29 09:17:23,Yann-lms,fork_close,"Hi,

This github is a read-only mirror for review.trustedfirmware.org.
Please check this link for submitting patches:
https://trustedfirmware-a.readthedocs.io/en/latest/process/contributing.html

That said, I'd prefer not to modify the framework.
The data should be kept either in dw_mmc.c (that's what is done in stm32_sdmmc2.c, but we do not expect to have 2 instances of MMC devices) or in hikey_bl1_setup.c, and other platform files using the dw_mmc driver.

Regards,
Yann","{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/comments/769682809"", ""author_association"": ""CONTRIBUTOR""}"
1939,IssueComment,2021-02-01 02:48:21,hudeqiWH,fork_close,"> dw_mmc

Hi,

Thank you for your reply. Refer to other platform implementation(which all don`t have permanent instance), there may be a reference to the risk of free space, I will refer to your tips to submit patches in other repository.

Regards,
Deqi","{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/comments/770527612"", ""author_association"": ""NONE""}"
1939,IssueComment,2021-03-12 16:14:25,ssg-bot,fork_close,"Hello @hudeqiWH!


Thank you for your contribution to **Trusted Firmware-A**!

The TF-A project has now migrated to www.trustedfirmware.org. Our GitHub repo will remain accessible as a Read-Only mirror but we have changed the way we accept contributions for the project.

## How do I contribute patches to TF-A?
We have a [Getting started](https://developer.trustedfirmware.org/w/tf_a/gerrit-getting-started/) article which we hope will make everything very straightforward! And if you would like more details you can always refer to the [contributing guidelines](https://trustedfirmware-a.readthedocs.io/en/latest/process/contributing.html).

A quick overview:
1. Go to review.trustedfirmware.org
2. Register with your existing GitHub account
3. Submit your patches!

## What if I face any problems?
We have many channels through which you can contact us:

 * **Our mailing lists**
   You can send us an email in the [public TF-A mailing list](https://lists.trustedfirmware.org/mailman/listinfo/tf-a). [Here](https://lists.trustedfirmware.org/mailman/listinfo) you can also find all the mailing lists for all the projects hosted under trustedfirmware.org.

We are looking forward to seeing your patch submitted to trustedfirmware.org!

The **Trusted Firmware-A** team
","{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/comments/797592783"", ""author_association"": ""NONE""}"
1939,ClosePR,2021-03-17 01:35:06,hudeqiWH,fork_close,,"{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/events/4467649740"", ""commit_url"": null}"
1939,IssueCommentSupplement,2021-03-17 01:36:07,hudeqiWH,fork_close,commit on https://review.trustedfirmware.org/,"{""url"": ""https://api.github.com/repos/ARM-software/arm-trusted-firmware/issues/comments/800726818"", ""author_association"": ""NONE""}"
1940,SubmitCommit,2021-03-15 07:52:17,zavorka,fork_close,"plat/allwinner: don't enable regulators disabled in DT

Since July 2020 (36766d39e8), u-boot began building all device trees
with symbols unless OF_LIBFDT_OVERLAY is explicitly disabled.

Consequentially, each node in a device tree is assigned a phandle,
regardless of it being actually referenced anywhere. This change made
the selective enablement of only those regulators for which a phandle
is present by the axp driver effectively useless.

In order to reinstate a way of achieving selectivity in what regulators
get enabled, check for a non-'okay' value of the 'status' property.","{""sha"": ""ad6e39c158b741bb32f203147301c10a2553b3f4"", ""author"": {""name"": ""Roman Beranek"", ""email"": ""roman.beranek@prusa3d.com"", ""date"": ""2021-03-15T07:52:17Z""}, ""committer"": {""name"": ""Roman Beranek"", ""email"": ""roman.beranek@prusa3d.com"", ""date"": ""2021-03-15T07:52:17Z""}}"
1940,OpenPR,2021-03-15 08:18:05,zavorka,fork_close,,
