case:concept:name,concept:name,time:timestamp,people,scene
1673,SubmitCommit,2021-01-06 21:48:21,Jamaika1,fork_close
1673,OpenPR,2021-01-06 21:48:36,Jamaika1,fork_close
1673,IssueComment,2021-01-06 22:28:59,codecov-io,fork_close
1673,Revise,2021-01-07 06:41:32,Jamaika1,fork_close
1673,Revise,2021-01-07 08:58:38,Jamaika1,fork_close
1673,Revise,2021-01-07 09:23:34,Jamaika1,fork_close
1673,ClosePR,2021-01-07 09:26:35,jeanlf,fork_close
1678,SubmitCommit,2021-01-11 15:49:32,aureliendavid,unfork_merge
1678,OpenPR,2021-01-11 17:15:11,aureliendavid,unfork_merge
1678,IssueComment,2021-01-11 20:44:09,rbouqueau,unfork_merge
1678,Revise,2021-01-12 10:24:46,aureliendavid,unfork_merge
1678,IssueComment,2021-01-12 10:39:44,codecov-io,unfork_merge
1678,MergePR,2021-01-13 10:07:16,aureliendavid,unfork_merge
1678,DeleteBranch,2021-02-24 17:34:46,jeanlf,unfork_merge
1697,SubmitCommit,2021-03-04 13:15:14,DavidKorczynski,fork_close
1697,OpenPR,2021-03-04 13:19:40,DavidKorczynski,fork_close
1697,IssueComment,2021-03-04 14:45:25,rbouqueau,fork_close
1697,IssueComment,2021-03-04 18:22:35,jeanlf,fork_close
1697,IssueComment,2021-03-08 11:31:32,DavidKorczynski,fork_close
1697,IssueComment,2021-03-08 11:46:51,aureliendavid,fork_close
1697,IssueComment,2021-03-08 12:17:28,DavidKorczynski,fork_close
1697,IssueComment,2021-03-08 13:05:53,aureliendavid,fork_close
1697,IssueComment,2021-03-08 23:00:15,DavidKorczynski,fork_close
1697,IssueComment,2021-03-09 08:42:42,aureliendavid,fork_close
1697,ClosePR,2021-04-21 09:32:32,aureliendavid,fork_close
1709,SubmitCommit,2021-03-15 14:16:11,aureliendavid,unfork_merge
1709,SubmitCommit,2021-03-15 16:21:55,aureliendavid,unfork_merge
1709,SubmitCommit,2021-03-15 16:55:52,aureliendavid,unfork_merge
1709,OpenPR,2021-03-16 12:54:55,aureliendavid,unfork_merge
1709,MergePR,2021-03-17 14:25:42,aureliendavid,unfork_merge
1709,DeleteBranch,2021-05-07 09:51:59,jeanlf,unfork_merge
1710,OpenPR,2021-03-17 02:33:23,tdaede,fork_merge
1710,Revise,2021-03-17 02:37:04,tdaede,fork_merge
1710,IssueComment,2021-03-17 03:10:02,codecov-io,fork_merge
1710,MergePR,2021-03-17 09:02:30,jeanlf,fork_merge
1712,SubmitCommit,2021-03-20 04:03:37,cconcolato,unfork_merge
1712,OpenPR,2021-03-20 04:04:16,cconcolato,unfork_merge
1712,ReviewRequested,2021-03-20 04:04:17,cconcolato,unfork_merge
1712,IssueComment,2021-03-21 12:46:50,rbouqueau,unfork_merge
1712,MergePR,2021-03-22 14:02:03,jeanlf,unfork_merge
1712,DeleteBranch,2021-03-25 18:46:49,cconcolato,unfork_merge
1717,OpenPR,2021-03-25 04:34:44,tdaede,fork_merge
1717,IssueComment,2021-03-25 05:09:42,codecov-io,fork_merge
1717,ReviewRejected,2021-03-25 08:53:36,jeanlf,fork_merge
1717,IssueComment,2021-03-30 09:43:41,tdaede,fork_merge
1717,IssueComment,2021-04-16 03:46:43,tdaede,fork_merge
1717,Revise,2021-04-16 03:47:30,tdaede,fork_merge
1717,MergePR,2021-05-10 09:32:31,jeanlf,fork_merge
1730,SubmitCommit,2021-04-06 14:41:17,rbouqueau,fork_merge
1730,OpenPR,2021-04-06 14:42:37,rbouqueau,fork_merge
1730,IssueComment,2021-04-09 13:47:24,rbouqueau,fork_merge
1730,MergePR,2021-04-09 13:53:48,jeanlf,fork_merge
1739,OpenPR,2021-04-09 13:48:40,rbouqueau,fork_merge
