case:concept:name,concept:name,time:timestamp,people,scene
167,SubmitCommit,2021-01-28 09:55:57,notroj,fork_close
167,OpenPR,2021-01-28 09:57:37,notroj,fork_close
167,ClosePR,2021-01-29 12:43:10,asfgit,fork_close
168,SubmitCommit,2021-02-05 08:46:47,rpluem,fork_close
168,SubmitCommit,2021-02-05 08:58:00,rpluem,fork_close
168,SubmitCommit,2021-02-05 08:59:58,rpluem,fork_close
168,SubmitCommit,2021-02-05 09:01:15,rpluem,fork_close
168,OpenPR,2021-02-05 09:03:10,rpluem,fork_close
168,ClosePR,2021-03-02 19:41:28,rpluem,fork_close
168,DeleteBranch,2021-03-02 19:41:36,rpluem,fork_close
169,SubmitCommit,2021-02-06 00:58:31,ylavic,fork_close
169,OpenPR,2021-02-06 01:07:56,ylavic,fork_close
169,Revise,2021-02-06 10:36:58,ylavic,fork_close
169,ClosePR,2021-02-06 12:17:52,asfgit,fork_close
170,SubmitCommit,2021-02-11 09:38:14,rpluem,fork_close
170,SubmitCommit,2021-02-11 09:41:29,DRuggeri,fork_close
170,SubmitCommit,2021-02-11 10:07:28,jimjag,fork_close
170,SubmitCommit,2021-02-11 10:09:53,Christophe Jaillet,fork_close
170,SubmitCommit,2021-02-11 10:14:34,ylavic,fork_close
170,OpenPR,2021-02-11 10:16:52,rpluem,fork_close
170,ClosePR,2021-03-02 20:04:15,rpluem,fork_close
170,DeleteBranch,2021-03-02 20:04:19,rpluem,fork_close
172,OpenPR,2021-02-24 10:52:33,notroj,fork_close
172,Revise,2021-02-24 10:54:09,notroj,fork_close
172,Revise,2021-02-24 14:45:21,notroj,fork_close
172,ClosePR,2021-02-25 09:12:07,asfgit,fork_close
173,SubmitCommit,2021-02-25 08:49:20,DamianFekete,fork_close
173,OpenPR,2021-02-25 09:04:24,DamianFekete,fork_close
173,ReviewComment,2021-02-25 10:53:55,ylavic,fork_close
173,ClosePR,2021-02-25 13:01:36,DamianFekete,fork_close
174,OpenPR,2021-03-02 17:06:26,notroj,fork_close
174,Revise,2021-03-03 10:50:07,notroj,fork_close
174,ClosePR,2021-03-03 14:27:41,asfgit,fork_close
175,SubmitCommit,2021-03-03 10:35:49,Stefan Eissing,fork_close
175,OpenPR,2021-03-03 10:38:23,icing,fork_close
175,ClosePR,2021-06-02 13:16:41,icing,fork_close
175,DeleteBranch,2021-06-11 10:49:35,icing,fork_close
176,OpenPR,2021-03-03 17:53:33,notroj,fork_close
176,Revise,2021-03-19 16:34:08,notroj,fork_close
176,ClosePR,2021-04-19 19:35:53,notroj,fork_close
177,OpenPR,2021-03-08 13:02:28,notroj,fork_close
177,ReviewRejected,2021-03-09 21:44:19,michael-o,fork_close
177,ReviewRejected,2021-03-11 18:38:30,michael-o,fork_close
177,Revise,2021-03-17 10:09:58,notroj,fork_close
177,Revise,2021-03-17 11:01:12,notroj,fork_close
177,Revise,2021-03-17 11:11:34,notroj,fork_close
177,ReviewRejected,2021-03-17 12:14:41,michael-o,fork_close
177,Revise,2021-03-18 09:02:13,notroj,fork_close
177,ClosePR,2021-03-19 15:15:50,asfgit,fork_close
178,SubmitCommit,2020-08-11 12:09:44,jimjag,fork_close
178,SubmitCommit,2020-08-15 13:51:15,Lucien Gentis,fork_close
