case:concept:name,concept:name,time:timestamp,people,scene
396,OpenPR,2021-01-02 14:28:20,stefanberger,unfork_merge
396,Revise,2021-01-02 14:32:28,stefanberger,unfork_merge
396,Revise,2021-01-02 14:48:47,stefanberger,unfork_merge
396,IssueComment,2021-01-02 16:03:56,coveralls,unfork_merge
396,MergePR,2021-01-02 17:16:40,stefanberger,unfork_merge
397,SubmitCommit,2021-01-03 15:03:40,stefanberger,unfork_merge
397,OpenPR,2021-01-03 19:18:21,stefanberger,unfork_merge
397,IssueComment,2021-01-03 19:55:23,coveralls,unfork_merge
397,MergePR,2021-01-03 23:42:06,stefanberger,unfork_merge
399,SubmitCommit,2021-01-13 03:19:22,iccaszhulili,fork_merge
399,OpenPR,2021-01-13 03:22:12,iccaszhulili,fork_merge
399,IssueComment,2021-01-13 03:23:59,iccaszhulili,fork_merge
399,IssueComment,2021-01-13 04:28:22,coveralls,fork_merge
399,MergePR,2021-01-13 12:02:19,stefanberger,fork_merge
400,SubmitCommit,2021-01-13 12:37:19,iccaszhulili,unfork_merge
400,SubmitCommit,2021-01-13 12:44:15,stefanberger,unfork_merge
400,OpenPR,2021-01-13 13:24:07,stefanberger,unfork_merge
400,IssueComment,2021-01-13 15:15:58,coveralls,unfork_merge
400,MergePR,2021-01-13 15:26:35,stefanberger,unfork_merge
401,SubmitCommit,2021-01-13 12:34:56,iccaszhulili,unfork_merge
401,SubmitCommit,2021-01-13 12:44:43,stefanberger,unfork_merge
401,OpenPR,2021-01-13 13:24:41,stefanberger,unfork_merge
401,MergePR,2021-01-13 15:26:19,stefanberger,unfork_merge
402,SubmitCommit,2021-01-13 12:45:02,stefanberger,unfork_merge
402,OpenPR,2021-01-13 13:25:31,stefanberger,unfork_merge
402,IssueComment,2021-01-13 15:55:01,coveralls,unfork_merge
402,MergePR,2021-01-13 16:32:16,stefanberger,unfork_merge
403,OpenPR,2021-01-19 02:47:18,stefanberger,unfork_merge
403,Revise,2021-01-19 12:14:53,stefanberger,unfork_merge
403,IssueComment,2021-01-19 13:31:05,coveralls,unfork_merge
403,MergePR,2021-01-19 14:57:56,stefanberger,unfork_merge
404,SubmitCommit,2021-01-29 13:41:57,stefanberger,unfork_merge
404,OpenPR,2021-01-29 14:58:49,stefanberger,unfork_merge
404,IssueComment,2021-01-29 15:37:25,coveralls,unfork_merge
404,MergePR,2021-01-29 15:51:31,stefanberger,unfork_merge
405,SubmitCommit,2021-01-29 15:52:40,stefanberger,unfork_merge
405,OpenPR,2021-01-29 18:54:09,stefanberger,unfork_merge
405,IssueComment,2021-01-29 19:31:04,coveralls,unfork_merge
405,MergePR,2021-01-29 20:20:25,stefanberger,unfork_merge
406,SubmitCommit,2021-01-29 15:53:14,stefanberger,unfork_merge
406,OpenPR,2021-01-29 18:54:28,stefanberger,unfork_merge
406,IssueComment,2021-01-29 20:10:52,coveralls,unfork_merge
406,MergePR,2021-01-29 20:12:58,stefanberger,unfork_merge
408,OpenPR,2021-02-01 17:54:17,stefanberger,unfork_merge
408,Revise,2021-02-01 18:08:17,stefanberger,unfork_merge
408,IssueComment,2021-02-01 19:43:09,coveralls,unfork_merge
408,MergePR,2021-02-01 19:48:33,stefanberger,unfork_merge
409,OpenPR,2021-02-02 14:54:43,stefanberger,unfork_merge
409,Revise,2021-02-02 16:03:02,stefanberger,unfork_merge
409,MergePR,2021-02-02 17:37:01,stefanberger,unfork_merge
411,SubmitCommit,2021-02-05 19:49:50,stefanberger,unfork_merge
411,SubmitCommit,2021-02-05 19:50:02,stefanberger,unfork_merge
411,SubmitCommit,2021-02-05 19:50:57,stefanberger,unfork_merge
411,SubmitCommit,2021-02-05 19:54:47,stefanberger,unfork_merge
411,OpenPR,2021-02-05 20:00:34,stefanberger,unfork_merge
411,IssueComment,2021-02-05 21:12:48,coveralls,unfork_merge
411,MergePR,2021-02-05 21:48:56,stefanberger,unfork_merge
416,SubmitCommit,2021-02-19 13:26:10,stefanberger,unfork_merge
416,OpenPR,2021-02-19 18:20:00,stefanberger,unfork_merge
416,IssueComment,2021-02-19 18:58:33,coveralls,unfork_merge
416,MergePR,2021-02-19 20:06:53,stefanberger,unfork_merge
417,OpenPR,2021-02-20 18:52:00,stefanberger,unfork_merge
417,IssueComment,2021-02-20 20:12:19,coveralls,unfork_merge
417,Revise,2021-02-21 12:13:56,stefanberger,unfork_merge
417,IssueComment,2021-02-22 15:55:54,stefanberger,unfork_merge
417,IssueComment,2021-02-24 07:39:39,elmarco,unfork_merge
417,MergePR,2021-02-25 12:28:47,stefanberger,unfork_merge
418,SubmitCommit,2021-02-21 16:07:23,stefanberger,unfork_merge
418,OpenPR,2021-02-21 16:38:21,stefanberger,unfork_merge
418,MergePR,2021-02-21 16:52:05,stefanberger,unfork_merge
418,DeleteBranch,2021-05-22 00:19:51,stefanberger,unfork_merge
419,OpenPR,2021-02-22 18:35:25,williamcroberts,fork_close
419,Revise,2021-02-22 18:35:43,williamcroberts,fork_close
419,IssueComment,2021-02-22 19:01:02,stefanberger,fork_close
419,IssueComment,2021-02-22 22:15:31,williamcroberts,fork_close
419,Revise,2021-02-22 22:16:07,williamcroberts,fork_close
419,ClosePR,2021-07-26 22:17:10,stefanberger,fork_close
422,SubmitCommit,2021-02-24 15:37:08,stefanberger,unfork_merge
422,OpenPR,2021-02-24 16:18:35,stefanberger,unfork_merge
422,IssueComment,2021-02-24 17:19:49,coveralls,unfork_merge
422,MergePR,2021-02-24 17:23:28,stefanberger,unfork_merge
422,DeleteBranch,2021-02-24 17:30:27,stefanberger,unfork_merge
423,SubmitCommit,2021-02-26 18:55:25,stefanberger,unfork_merge
423,OpenPR,2021-02-26 20:10:06,stefanberger,unfork_merge
423,IssueComment,2021-02-26 21:21:45,coveralls,unfork_merge
423,MergePR,2021-02-26 21:22:02,stefanberger,unfork_merge
425,SubmitCommit,2021-03-01 00:41:38,stefanberger,unfork_merge
425,SubmitCommit,2021-03-01 00:41:38,stefanberger,unfork_merge
425,SubmitCommit,2021-03-01 00:41:38,stefanberger,unfork_merge
425,OpenPR,2021-03-01 00:44:57,stefanberger,unfork_merge
425,IssueComment,2021-03-01 02:04:03,coveralls,unfork_merge
425,MergePR,2021-03-01 12:54:27,stefanberger,unfork_merge
428,SubmitCommit,2021-03-15 14:08:12,stefanberger,unfork_merge
428,OpenPR,2021-03-15 14:11:18,stefanberger,unfork_merge
428,IssueComment,2021-03-15 14:12:36,stefanberger,unfork_merge
428,IssueComment,2021-03-15 15:34:13,coveralls,unfork_merge
428,MergePR,2021-03-15 18:41:24,stefanberger,unfork_merge
428,DeleteBranch,2021-03-15 18:41:28,stefanberger,unfork_merge
430,SubmitCommit,2021-03-17 20:08:14,stefanberger,unfork_merge
430,SubmitCommit,2021-03-17 21:53:28,stefanberger,unfork_merge
430,SubmitCommit,2021-03-17 21:53:28,stefanberger,unfork_merge
430,OpenPR,2021-03-17 22:06:38,stefanberger,unfork_merge
430,IssueComment,2021-03-17 23:12:22,coveralls,unfork_merge
430,MergePR,2021-03-17 23:19:10,stefanberger,unfork_merge
431,SubmitCommit,2021-03-21 01:27:21,stefanberger,unfork_merge
431,OpenPR,2021-03-21 01:31:13,stefanberger,unfork_merge
431,IssueComment,2021-03-21 02:48:57,coveralls,unfork_merge
431,MergePR,2021-03-21 12:18:24,stefanberger,unfork_merge
436,SubmitCommit,2021-05-07 01:27:07,stefanberger,unfork_merge
436,OpenPR,2021-05-07 01:30:22,stefanberger,unfork_merge
436,IssueComment,2021-05-07 03:18:27,coveralls,unfork_merge
436,IssueComment,2021-05-07 18:37:06,xypron,unfork_merge
436,MergePR,2021-05-07 20:56:15,stefanberger,unfork_merge
438,SubmitCommit,2021-05-12 17:09:01,stefanberger,unfork_merge
438,OpenPR,2021-05-12 18:12:36,stefanberger,unfork_merge
438,IssueComment,2021-05-12 20:00:23,coveralls,unfork_merge
438,MergePR,2021-05-12 20:03:19,stefanberger,unfork_merge
439,SubmitCommit,2021-05-12 17:13:07,stefanberger,unfork_merge
439,OpenPR,2021-05-12 18:12:46,stefanberger,unfork_merge
